codigo_plan,nombre,linea,horas,cupos,sipfor_url
PF1481,Fundamentos de Análisis de Datos,Perfiles de Especialidad,198,330,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1483,Fundamentos de Ciencia de Datos,Perfiles de Especialidad,210,210,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1462,Especialización en Machine Learning,Perfiles de Especialidad,201,90,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1487,Fundamentos de Ingeniería de Datos,Perfiles de Especialidad,210,90,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1486,Fundamentos Product Owner,Perfiles de Especialidad,141,90,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1485,Fundamentos DevOps,Perfiles de Especialidad,180,60,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1493,Seguridad Cloud,Perfiles de Especialidad,201,60,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1495,Hacking Ético en Aplicativos Web,Perfiles de Especialidad,210,90,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1482,Fundamentos de Arquitectura Cloud,Perfiles de Especialidad,204,60,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1822,Especialización en Desarrollo con IA,Perfiles de Especialidad,190,300,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1821,Construcción de Agentes y Automatización con Herramientas Low Code,Perfiles de Especialidad,220,120,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1477,Desarrollo de Aplicaciones Full Stack Java Trainee,Entry level,483,240,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1479,Desarrollo de Aplicaciones Full Stack JavaScript Trainee,Entry level,475,240,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1478,Desarrollo de Aplicaciones Fullstack Python Trainee,Entry level,465,420,https://sipfor.sence.cl/Planes/Catalogo.aspx
PF1474,Desarrollo de Aplicaciones Front-End Trainee,Entry level,441,270,https://sipfor.sence.cl/Planes/Catalogo.aspx
