codigo_plan,nombre,linea,horas,extension_nota7,extension_nota5,extension_nota3,indicadores_por_ae,instrumentos_distintos,elementos_portafolio,actividades_practicas,herramientas_didacticas,habilidades_siglo_xxi,herramientas_industria,estrategias_vinculacion
PF1481,Fundamentos de Análisis de Datos,Perfiles de Especialidad,198,4,3,2,3,3,6,2,2,3,5,4
PF1483,Fundamentos de Ciencia de Datos,Perfiles de Especialidad,210,5,3,3,3,3,6,2,2,3,5,4
PF1462,Especialización en Machine Learning,Perfiles de Especialidad,201,5,3,3,3,3,6,2,2,3,5,4
PF1487,Fundamentos de Ingeniería de Datos,Perfiles de Especialidad,210,5,3,3,3,3,6,2,2,3,5,4
PF1486,Fundamentos Product Owner,Perfiles de Especialidad,141,3,2,2,3,3,6,2,2,3,5,4
PF1485,Fundamentos DevOps,Perfiles de Especialidad,180,4,3,2,3,3,6,2,2,3,5,4
PF1493,Seguridad Cloud,Perfiles de Especialidad,201,5,3,3,3,3,6,2,2,3,5,4
PF1495,Hacking Ético en Aplicativos Web,Perfiles de Especialidad,210,5,3,3,3,3,6,2,2,3,5,4
PF1482,Fundamentos de Arquitectura Cloud,Perfiles de Especialidad,204,5,3,3,3,3,6,2,2,3,5,4
PF1822,Especialización en Desarrollo con IA,Perfiles de Especialidad,190,4,3,2,3,3,6,2,2,3,5,4
PF1821,Construcción de Agentes y Automatización con Herramientas Low Code,Perfiles de Especialidad,220,5,3,3,3,3,6,2,2,3,5,4
PF1477,Desarrollo de Aplicaciones Full Stack Java Trainee,Entry level,483,10,7,5,3,3,6,2,2,3,5,4
PF1479,Desarrollo de Aplicaciones Full Stack JavaScript Trainee,Entry level,475,10,6,5,3,3,6,2,2,3,5,4
PF1478,Desarrollo de Aplicaciones Fullstack Python Trainee,Entry level,465,10,6,5,3,3,6,2,2,3,5,4
PF1474,Desarrollo de Aplicaciones Front-End Trainee,Entry level,441,9,6,5,3,3,6,2,2,3,5,4
