comuna,zona
Santiago,RM
Providencia,RM
Las Condes,RM
Ñuñoa,RM
Maipú,RM
La Florida,RM
Puente Alto,RM
Vitacura,RM
Lo Barnechea,RM
La Reina,RM
Macul,RM
Peñalolén,RM
San Miguel,RM
Estación Central,RM
Recoleta,RM
Independencia,RM
Quilicura,RM
Pudahuel,RM
Cerrillos,RM
La Cisterna,RM
San Bernardo,RM
Quinta Normal,RM
Renca,RM
Conchalí,RM
Huechuraba,RM
La Granja,RM
San Joaquín,RM
Lo Prado,RM
El Bosque,RM
Colina,RM
Valparaíso,Regiones
Viña del Mar,Regiones
Concepción,Regiones
Temuco,Regiones
Rancagua,Regiones
Talca,Regiones
La Serena,Regiones
Antofagasta,Regiones
Puerto Montt,Regiones
Punta Arenas,Regiones
